OPDIV,CFDA Number,CFDA Program Title,Award Number,Award Title,Action Date,Recipient Name,City,State,Approp Code,Award Amount
DHHS/OS,93.889,National Bioterrorism Hospital Preparedness Program,U3REP200670,American Red Cross - support the stability of the American Red Cross blood operations and humanitarian services during the COVID-19 pandemic.,7/2/2020,AMERICAN NATIONAL RED CROSS HEADQUARTERS,CHARLOTTE,NC,C3,"$118,000,000 "
DHHS/OS,93.889,National Bioterrorism Hospital Preparedness Program,U3REP190591,Hospital Preparedness Program Cooperative Agreement (Program Announcement EP-U3R-19-001),7/2/2020,North Carolina Department of Health and Human Services,RALEIGH,NC,CV,$0 
ACF,93.6,Head Start,04CH010220,Head Start,6/30/2020,RANDOLPH COMMUNITY SERVICES,ASHEBORO,NC,C3,"$426,222 "
ACF,93.6,Head Start,04CH9964,Head Start,6/30/2020,POLK COUNTY BOARD OF EDUCATION,COLUMBUS,NC,C3,"$70,305 "
ACF,93.6,Head Start,04HP000377,Early Head Start - Child Care Partnership,6/30/2020,DURHAMS PARTNERSHIP FOR CHILDREN,DURHAM,NC,C3,"$56,244 "
ACF,93.6,Head Start,04HP000383,Early Head Start/Child Care Partnership,6/30/2020,"WAYNE ACTION GROUP FOR ECONOMIC SOLVENCY, INC",GOLDSBORO,NC,C3,"$63,274 "
ACF,93.6,Head Start,04HP000237,Early Head Start Child Care Partnership,6/30/2020,GUILFORD CHILD DEVELOPMENT,GREENSBORO,NC,C3,"$87,881 "
ACF,93.6,Head Start,04HP000070,Early Head Start/Child Care Partnership,6/30/2020,GUILFORD CHILD DEVELOPMENT,GREENSBORO,NC,C3,"$119,518 "
ACF,93.6,Head Start,04HP000090,Early Head Start/Child Care Partnership,6/30/2020,"GREENE LAMP, INC",KINSTON,NC,C3,"$64,153 "
ACF,93.6,Head Start,04CH010624,Head Start,6/30/2020,"GREENE LAMP, INC",KINSTON,NC,C3,"$273,309 "
ACF,93.6,Head Start,04CH010159,To provide materials and supplies in response to COVID-19 issues at the centers.,6/30/2020,"BLUE RIDGE COMMUNITY ACTION, INC",LENOIR,NC,C3,"$203,883 "
ACF,93.6,Head Start,04HP000261,Early Head Start/Child Care Partnership,6/30/2020,TELAMON CORPORATION,RALEIGH,NC,C3,"$63,274 "
ACF,93.6,Head Start,04CH010653,Head Start and Early Head Start,6/30/2020,"CHOANOKE AREA DEVELOPMENT ASSOCIATION, INC",RICH SQUARE,NC,C3,"$529,042 "
ACF,93.6,Head Start,04CH011221,Head Start,6/30/2020,PERSON COUNTY SCHOOL DISTRICT,ROXBORO,NC,C3,"$97,548 "
ACF,93.6,Head Start,04CH010177,Head Start and Early Head Start,6/30/2020,RUTHERFORD COUNTY BOARD OF EDUCATION,SPINDALE,NC,C3,"$230,248 "
ACF,93.6,Head Start,90CM009839,Migrant Head Start,6/29/2020,"East Coast Migrant Head Start Project, The",RALEIGH,NC,C3,"$1,997,530 "
ACF,93.6,Head Start,04CH011097,Head Start,6/26/2020,Rockingham County Schools,EDEN,NC,C3,"$174,004 "
ACF,93.6,Head Start,04CH011156,Head Start and Early Head Start,6/26/2020,MACON PROGRAM FOR PROGRESS,FRANKLIN,NC,C3,"$264,521 "
ACF,93.6,Head Start,04CH011024,Head Start,6/26/2020,KANNAPOLIS CITY SCHOOL DISTRICT,KANNAPOLIS,NC,C3,"$162,579 "
ACF,93.6,Head Start,04CH011010,Head Start and Early Head Start,6/26/2020,"Southeastern Community Action Partnership, Inc.",LUMBERTON,NC,C3,"$826,079 "
ACF,93.6,Head Start,04CH010543,Head Start,6/26/2020,"FAMILY SERVICES, INC",WINSTON SALEM,NC,C3,"$438,525 "
CDC,93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",NU1ROT000127,Supporting Tribal Public Health Capacity in Coronavirus Preparedness and Response - 2020,6/26/2020,Cherokee Indian Hospital Authority,CHEROKEE,NC,C3,"$372,195 "
CDC,93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",NU1ROT000127,Supporting Tribal Public Health Capacity in Coronavirus Preparedness and Response - 2020,6/26/2020,Cherokee Indian Hospital Authority,CHEROKEE,NC,CV,"$22,276 "
DHHS/OS,93.889,National Bioterrorism Hospital Preparedness Program,U3REP200659,North Carolina Rural Hospital COVID Support,6/24/2020,"North Carolina Healthcare Foundation, Inc. ",CARY,NC,CV,$0 
HRSA,93.918,Grants to Provide Outpatient Early Intervention Services with Respect to HIV Disease,H7C36817,Ryan White HIV/AIDS Program Part C EIS COVID-19 Response,6/23/2020,ROBESON HEALTH CARE CORPORATION,FAIRMONT,NC,C3,$0 
HRSA,93.918,Grants to Provide Outpatient Early Intervention Services with Respect to HIV Disease,H7C37256,Ryan White HIV/AIDS Program Part C EIS COVID-19 Response,6/23/2020,"TRI COUNTY COMMUNITY HEALTH COUNCIL, INC.",NEWTON GROVE,NC,C3,$0 
CDC,93.323,Epidemiology and Laboratory Capacity for Infectious Diseases (ELC),NU50CK000530,CK19-1904 Epidemiology and Laboratory Capacity for Prevention and Control of Emerging Infectious Diseases (ELC),6/21/2020,North Carolina Department of Health and Human Services,RALEIGH,NC,CV,$0 
CDC,93.136,Injury Prevention and Control Research and State and Community Based Programs,NUS4CE002307,NCCADV DELTA Impact Project COVID-19 supplement,6/19/2020,NORTH CAROLINA COALITION AGAINST DOMESTIC VIOLENCE,DURHAM,NC,CV,"$200,000 "
CDC,93.136,Injury Prevention and Control Research and State and Community Based Programs,NU17CE924847,North Carolina BASE Injury,6/19/2020,NC ST DEPARTMENT OF HEALTH & HUMAN SERVICES,RALEIGH,NC,C3,"$173,913 "
DHHS/OS,93.889,National Bioterrorism Hospital Preparedness Program,U3REP200659,North Carolina Rural Hospital COVID Support,6/18/2020,"North Carolina Healthcare Foundation, Inc. ",CARY,NC,C3,"$3,172,974 "
CDC,93.136,Injury Prevention and Control Research and State and Community Based Programs,NUF2CE002481,NC Rape Prevention and Education Program,6/17/2020,North Carolina Department of Health and Human Services,RALEIGH,NC,C3,"$108,723 "
HRSA,93.918,Grants to Provide Outpatient Early Intervention Services with Respect to HIV Disease,H7C37220,Ryan White HIV/AIDS Program Part C EIS COVID-19 Response,6/17/2020,EAST CAROLINA UNIVERSITY,GREENVILLE,NC,C3,$0 
HRSA,93.918,Grants to Provide Outpatient Early Intervention Services with Respect to HIV Disease,H7C37181,Ryan White HIV/AIDS Program Part C EIS COVID-19 Response,6/17/2020,EAST CAROLINA UNIVERSITY,GREENVILLE,NC,C3,$0 
NIH,93.855,Allergy and Infectious Diseases Research,UM1AI069423,HIV/AIDS Clinical Trials Unit (CTU) COVID-19 Admin Supplement,6/17/2020,UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,CHAPEL HILL,NC,C3,"$600,000 "
NIH,93.855,Allergy and Infectious Diseases Research,U19AI100625,Systems Immunogenetics of Biodefense and Emerging Pathogens in the Collaborative Cross,6/17/2020,UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,CHAPEL HILL,NC,CV,"$103,161 "
DHHS/OS,93.889,National Bioterrorism Hospital Preparedness Program,U3REP200659,North Carolina Rural Hospital COVID Support,6/13/2020,"North Carolina Healthcare Foundation, Inc. ",CARY,NC,CV,"($3,172,974)"
DHHS/OS,93.889,National Bioterrorism Hospital Preparedness Program,U3REP190591,Hospital Preparedness Program Cooperative Agreement (Program Announcement EP-U3R-19-001),6/12/2020,North Carolina Department of Health and Human Services,RALEIGH,NC,CV,"($2,607,932)"
HRSA,93.153,"Coordinated Services and Access to Research for Women, Infants, Children, and Youth",H1X36977,Ryan White HIV/AIDS Program Part D WICY COVID-19 Response,6/12/2020,Duke University,DURHAM,NC,C3,$0 
HRSA,93.153,"Coordinated Services and Access to Research for Women, Infants, Children, and Youth",H1X36992,Ryan White HIV/AIDS Program Part D WICY COVID-19 Response,6/12/2020,EAST CAROLINA UNIVERSITY,GREENVILLE,NC,C3,$0 
CDC,93.084,"Prevention of Disease, Disability, and Death by Infectious Diseases  ",U54CK000483,Duke-UNC Prevention Epicenter Program for Prevention of Healthcare-Associated Infections,6/11/2020,Duke University,DURHAM,NC,CV,"$600,000 "
ACL,93.048,"Special Programs for the Aging, Title IV, and Title II, Discretionary Projects",90NWC30030,North Carolina ADRC COVID-19 Relief Funding 2020-2021,6/10/2020,North Carolina Department of Health and Human Services,RALEIGH,NC,C3,"$5,454 "
CDC,93.268,Immunization Cooperative Agreements,NH23IP922624,CDC-RFA-IP19-1901 Immunization and Vaccines for Children,6/5/2020,NC ST DEPARTMENT OF HEALTH & HUMAN SERVICES,RALEIGH,NC,C3,"$4,145,415 "
CDC,93.354,Public Health Emergency Response:  Cooperative Agreement for Emergency Response: Public Health Crisis Response,NU90TP922104,North Carolina's Cooperative Agreement for Emergency Response: Public Health Crisis Response,6/4/2020,North Carolina Department of Health and Human Services,RALEIGH,NC,CV,$0 
DHHS/OS,93.889,National Bioterrorism Hospital Preparedness Program,U3REP200659,North Carolina Rural Hospital COVID Support,6/4/2020,"North Carolina Healthcare Foundation, Inc. ",CARY,NC,CV,$0 
CDC,93.391,"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises",NU1ROT000127,Supporting Tribal Public Health Capacity in Coronavirus Preparedness and Response - 2020,6/3/2020,Cherokee Indian Hospital Authority,CHEROKEE,NC,CV,"$311,455 "
ACF,93.591,Family Violence Prevention and Services/State Domestic Violence Coalitions,2001NCSDC3,SDC3-2020,5/28/2020,NORTH CAROLINA COALITION AGAINST DOMESTIC VIOLENCE,DURHAM,NC,C3,$0 
CDC,93.323,Epidemiology and Laboratory Capacity for Infectious Diseases (ELC),NU50CK000530,CK19-1904 Epidemiology and Laboratory Capacity for Prevention and Control of Emerging Infectious Diseases (ELC),5/28/2020,North Carolina Department of Health and Human Services,RALEIGH,NC,CV,"$1,683,568 "
DHHS/OS,93.889,National Bioterrorism Hospital Preparedness Program,U3REP200659,North Carolina Rural Hospital COVID Support,5/27/2020,"North Carolina Healthcare Foundation, Inc. ",CARY,NC,CV,"$3,172,974 "
DHHS/OS,93.889,National Bioterrorism Hospital Preparedness Program,U3REP190591,Hospital Preparedness Program Cooperative Agreement (Program Announcement EP-U3R-19-001),5/22/2020,North Carolina Department of Health and Human Services,RALEIGH,NC,CV,"$2,607,932 "
NIH,93.855,Allergy and Infectious Diseases Research,R01AI145687,"Structures of initial CD4 engagement with pre-fusion, closed HIV-1 Envelope trimer and early CD4-induced conformational changes required for infection",5/21/2020,Duke University,DURHAM,NC,CV,"$732,990 "
CDC,93.323,Epidemiology and Laboratory Capacity for Infectious Diseases (ELC),NU50CK000530,CK19-1904 Epidemiology and Laboratory Capacity for Prevention and Control of Emerging Infectious Diseases (ELC),5/19/2020,North Carolina Department of Health and Human Services,RALEIGH,NC,C4,"$188,951,581 "
HRSA,93.153,"Coordinated Services and Access to Research for Women, Infants, Children, and Youth",H1X37062,Ryan White HIV/AIDS Program Part D WICY COVID-19 Response,5/19/2020,"WESTERN NC COMMUNITY HEALTH SERVICES, INC",ASHEVILLE,NC,C3,$0 
HRSA,93.918,Grants to Provide Outpatient Early Intervention Services with Respect to HIV Disease,H7C37103,Ryan White HIV/AIDS Program Part C EIS COVID-19 Response,5/19/2020,"WESTERN NC COMMUNITY HEALTH SERVICES, INC",ASHEVILLE,NC,C3,$0 
HRSA,93.918,Grants to Provide Outpatient Early Intervention Services with Respect to HIV Disease,H7C37225,Ryan White HIV/AIDS Program Part C EIS COVID-19 Response,5/19/2020,UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,CHAPEL HILL,NC,C3,$0 
HRSA,93.914,HIV Emergency Relief Project Grants,H9A36933,Ryan White HIV/AIDS Program Part A COVID-19 Response,5/19/2020,MECKLENBURG COUNTY DEPARTMENT OF SOCIAL SERVICES,CHARLOTTE,NC,C3,$0 
HRSA,93.918,Grants to Provide Outpatient Early Intervention Services with Respect to HIV Disease,H7C37249,Ryan White HIV/AIDS Program Part C EIS COVID-19 Response,5/19/2020,"Quality Home Care Services, Inc",CHARLOTTE,NC,C3,$0 
HRSA,93.153,"Coordinated Services and Access to Research for Women, Infants, Children, and Youth",H1X37071,Ryan White HIV/AIDS Program Part D WICY COVID-19 Response,5/19/2020,"C.W. Williams Community Health Center, Inc.",CHARLOTTE,NC,C3,$0 
HRSA,93.918,Grants to Provide Outpatient Early Intervention Services with Respect to HIV Disease,H7C37165,Ryan White HIV/AIDS Program Part C EIS COVID-19 Response,5/19/2020,"LINCOLN COMMUNITY HEALTH CENTER, INC",DURHAM,NC,C3,$0 
HRSA,93.153,"Coordinated Services and Access to Research for Women, Infants, Children, and Youth",H1X36977,Ryan White HIV/AIDS Program Part D WICY COVID-19 Response,5/19/2020,Duke University,DURHAM,NC,C3,$0 
HRSA,93.918,Grants to Provide Outpatient Early Intervention Services with Respect to HIV Disease,H7C36817,Ryan White HIV/AIDS Program Part C EIS COVID-19 Response,5/19/2020,ROBESON HEALTH CARE CORPORATION,FAIRMONT,NC,C3,$0 
HRSA,93.153,"Coordinated Services and Access to Research for Women, Infants, Children, and Youth",H1X36978,Ryan White HIV/AIDS Program Part D WICY COVID-19 Response,5/19/2020,Central Carolina Health Network,GREENSBORO,NC,C3,$0 
HRSA,93.153,"Coordinated Services and Access to Research for Women, Infants, Children, and Youth",H1X36992,Ryan White HIV/AIDS Program Part D WICY COVID-19 Response,5/19/2020,EAST CAROLINA UNIVERSITY,GREENVILLE,NC,C3,$0 
HRSA,93.918,Grants to Provide Outpatient Early Intervention Services with Respect to HIV Disease,H7C37181,Ryan White HIV/AIDS Program Part C EIS COVID-19 Response,5/19/2020,EAST CAROLINA UNIVERSITY,GREENVILLE,NC,C3,$0 
HRSA,93.918,Grants to Provide Outpatient Early Intervention Services with Respect to HIV Disease,H7C37220,Ryan White HIV/AIDS Program Part C EIS COVID-19 Response,5/19/2020,EAST CAROLINA UNIVERSITY,GREENVILLE,NC,C3,$0 
HRSA,93.918,Grants to Provide Outpatient Early Intervention Services with Respect to HIV Disease,H7C37184,Ryan White HIV/AIDS Program Part C EIS COVID-19 Response,5/19/2020,WARREN-VANCE COMMUNITY HEALTH CENTER INC,HENDERSON,NC,C3,$0 
HRSA,93.918,Grants to Provide Outpatient Early Intervention Services with Respect to HIV Disease,H7C36778,Ryan White HIV/AIDS Program Part C EIS COVID-19 Response,5/19/2020,CATAWBA VALLEY MEDICAL CENTER,HICKORY,NC,C3,$0 
HRSA,93.153,"Coordinated Services and Access to Research for Women, Infants, Children, and Youth",H1X36991,Ryan White HIV/AIDS Program Part D WICY COVID-19 Response,5/19/2020,"TRI COUNTY COMMUNITY HEALTH COUNCIL, INC.",NEWTON GROVE,NC,C3,$0 
HRSA,93.918,Grants to Provide Outpatient Early Intervention Services with Respect to HIV Disease,H7C37256,Ryan White HIV/AIDS Program Part C EIS COVID-19 Response,5/19/2020,"TRI COUNTY COMMUNITY HEALTH COUNCIL, INC.",NEWTON GROVE,NC,C3,$0 
HRSA,93.918,Grants to Provide Outpatient Early Intervention Services with Respect to HIV Disease,H7C37198,Ryan White HIV/AIDS Program Part C EIS COVID-19 Response,5/19/2020,WAKE COUNTY DEPARTMENT OF HEALTH,RALEIGH,NC,C3,$0 
HRSA,93.917,HIV Care Formula Grants,X7C36860,Ryan White HIV/AIDS Program Part B COVID-19 Response,5/19/2020,NC ST DEPARTMENT OF HEALTH & HUMAN SERVICES,RALEIGH,NC,C3,$0 
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8E38081,FY 2020 Expanding Capacity for Coronavirus Testing (ECT),5/19/2020,"METROPOLITAN COMMUNITY HEALTH SERVICES, INC",WASHINGTON,NC,C4,$0 
HRSA,93.153,"Coordinated Services and Access to Research for Women, Infants, Children, and Youth",H1X37032,Ryan White HIV/AIDS Program Part D WICY COVID-19 Response,5/19/2020,NEW HANOVER REGIONAL MEDICAL CENTER,WILMINGTON,NC,C3,$0 
HRSA,93.918,Grants to Provide Outpatient Early Intervention Services with Respect to HIV Disease,H7C37260,Ryan White HIV/AIDS Program Part C EIS COVID-19 Response,5/19/2020,NEW HANOVER REGIONAL MEDICAL CENTER,WILMINGTON,NC,C3,$0 
HRSA,93.918,Grants to Provide Outpatient Early Intervention Services with Respect to HIV Disease,H7C36782,Ryan White HIV/AIDS Program Part C EIS COVID-19 Response,5/19/2020,"Carolina Family Health Centers, Inc.",WILSON,NC,C3,$0 
HRSA,93.153,"Coordinated Services and Access to Research for Women, Infants, Children, and Youth",H1X37057,Ryan White HIV/AIDS Program Part D WICY COVID-19 Response,5/19/2020,WAKE FOREST UNIVERSITY HEALTH SCIENCES,WINSTON SALEM,NC,C3,$0 
HRSA,93.918,Grants to Provide Outpatient Early Intervention Services with Respect to HIV Disease,H7C36820,Ryan White HIV/AIDS Program Part C EIS COVID-19 Response,5/19/2020,WAKE FOREST UNIVERSITY HEALTH SCIENCES,WINSTON SALEM,NC,C3,$0 
SAMHSA,93.665,Emergency Grants to Address Mental and Substance Use Disorders During COVID-19,H79FG000190,NC Emergency COVID-19,5/18/2020,North Carolina Department of Health and Human Services,RALEIGH,NC,C3,$0 
ACF,93.569,Community Services Block Grant,20PDNCCSC3,CSC3-2020,5/13/2020,"COHARIE INTRA-TRIBAL COUNCIL, INC (ONAP)",CLINTON,NC,C3,$0 
ACF,93.569,Community Services Block Grant,20QNNCCSC3,CSC3-2020,5/13/2020,LUMBEE TRIBE OF NORTH CAROLINA,PEMBROKE,NC,C3,$0 
ACF,93.569,Community Services Block Grant,2001NCCSC3,CSC3-2020,5/13/2020,NC ST DEPARTMENT OF HEALTH & HUMAN SERVICES,RALEIGH,NC,C3,$0 
CDC,93.067,Global AIDS,NU2GGH002033,"Strengthening the Strategic Information Capacity of Ministry of Health (MOH) in support of HIV/AIDS Prevention, Care and Treatment Activities in the DRC.",5/13/2020,INTERNATIONAL FERTILITY RESEARCH PROGRAM,DURHAM,NC,CV,"$225,000 "
ACF,93.671,Family Violence Prevention and Services/Domestic Violence Shelter and Supportive Services ,20PBNCFVC3,FVC3-2020,5/11/2020,EASTERN BAND OF CHEROKEE INDIANS,CHEROKEE,NC,C3,"$31,665 "
ACF,93.591,Family Violence Prevention and Services/State Domestic Violence Coalitions,2001NCSDC3,SDC3-2020,5/11/2020,NORTH CAROLINA COALITION AGAINST DOMESTIC VIOLENCE,DURHAM,NC,C3,"$80,357 "
ACF,93.671,Family Violence Prevention and Services/Domestic Violence Shelter and Supportive Services ,2002NCFVC3,FVC3-2020,5/11/2020,NC ST DEPARTMENT OF ADMINISTRATION,RALEIGH,NC,C3,"$1,090,675 "
HRSA,93.359,"Nurse Education, Practice Quality and Retention Grants",T1P39116,Nurse Education Practice Quality Retention- Registered Nurse in Primary Care COVID,5/11/2020,UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,CHAPEL HILL,NC,C3,"$78,571 "
HRSA,93.969,PPHF Geriatric Education Centers ,T1M39080,Geriatrics Workforce Enhancement Program COVID,5/11/2020,UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,CHAPEL HILL,NC,C3,"$90,625 "
HRSA,93.107,Area Health Education Centers,T1K39136,Area Health Education Centers Program COVID,5/11/2020,UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,CHAPEL HILL,NC,C3,"$95,455 "
HRSA,93.359,"Nurse Education, Practice Quality and Retention Grants",T1P39120,Nurse Education Practice Quality Retention- Registered Nurse in Primary Care COVID,5/11/2020,WESTERN CAROLINA UNIVERSITY,CULLOWHEE,NC,C3,"$78,571 "
HRSA,93.359,"Nurse Education, Practice Quality and Retention Grants",T1J39091,Nurse Education Practice Quality Retention Veteran Nurses in Primary Care COVID,5/11/2020,FAYETTEVILLE STATE UNIVERSITY,FAYETTEVILLE,NC,C3,"$64,285 "
IHS,93.21,Tribal Self-Governance Program: IHS Compacts/Funding Agreements ,65G020078,SELF-GOVERNANCE,5/11/2020,EASTERN BAND OF CHEROKEE INDIANS,CHEROKEE,NC,C3,"$257,438 "
IHS,93.21,Tribal Self-Governance Program: IHS Compacts/Funding Agreements ,65G020078,SELF-GOVERNANCE,5/11/2020,EASTERN BAND OF CHEROKEE INDIANS,CHEROKEE,NC,C3,"$821,914 "
ACF,93.568,Low-Income Home Energy Assistance,20PBNCE5C3,E5C3-2020,5/8/2020,EASTERN BAND OF CHEROKEE INDIANS,CHEROKEE,NC,C3,"$27,952 "
ACF,93.569,Community Services Block Grant,20PDNCCSC3,CSC3-2020,5/8/2020,"COHARIE INTRA-TRIBAL COUNCIL, INC (ONAP)",CLINTON,NC,C3,"$14,295 "
ACF,93.569,Community Services Block Grant,20QNNCCSC3,CSC3-2020,5/8/2020,LUMBEE TRIBE OF NORTH CAROLINA,PEMBROKE,NC,C3,"$362,267 "
ACF,93.568,Low-Income Home Energy Assistance,20QNNCE5C3,E5C3-2020,5/8/2020,LUMBEE TRIBE OF NORTH CAROLINA,PEMBROKE,NC,C3,"$453,920 "
ACF,93.568,Low-Income Home Energy Assistance,2001NCE5C3,E5C3-2020,5/8/2020,NC ST DEPARTMENT OF HEALTH & HUMAN SERVICES,RALEIGH,NC,C3,"$25,455,858 "
ACF,93.569,Community Services Block Grant,2001NCCSC3,CSC3-2020,5/8/2020,NC ST DEPARTMENT OF HEALTH & HUMAN SERVICES,RALEIGH,NC,C3,"$26,243,124 "
NIH,93.855,Allergy and Infectious Diseases Research,R01AI132178,Broad-spectrum antiviral GS-5734 to treat MERS-CoV and related emerging CoV,5/8/2020,UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,CHAPEL HILL,NC,CV,"$450,462 "
NIH,93.855,Allergy and Infectious Diseases Research,UM2AI117870,"Rho Federal Systems Division, Inc. NIAID DAIT SACCC",5/8/2020,"RHO FEDERAL SYSTEMS DIVISION, INC",CHAPEL HILL,NC,CV,"$10,601,507 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8E38701,FY 2020 Expanding Capacity for Coronavirus Testing (ECT),5/6/2020,ROBESON HEALTH CARE CORPORATION,FAIRMONT,NC,C4,"$280,009 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8E38078,FY 2020 Expanding Capacity for Coronavirus Testing (ECT),5/5/2020,Roanoke Chowan Community Health Center Inc,AHOSKIE,NC,C4,"$213,178 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8E38078,FY 2020 Expanding Capacity for Coronavirus Testing (ECT),5/5/2020,Roanoke Chowan Community Health Center Inc,AHOSKIE,NC,C4,"$126,711 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8E38741,FY 2020 Expanding Capacity for Coronavirus Testing (ECT),5/5/2020,"Medical Resource Center for Randolph County, Inc.",ASHEBORO,NC,C4,"$154,504 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8E38459,FY 2020 Expanding Capacity for Coronavirus Testing (ECT),5/5/2020,"WESTERN NC COMMUNITY HEALTH SERVICES, INC",ASHEVILLE,NC,C4,"$53,710 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8E38459,FY 2020 Expanding Capacity for Coronavirus Testing (ECT),5/5/2020,"WESTERN NC COMMUNITY HEALTH SERVICES, INC",ASHEVILLE,NC,C4,"$59,238 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8E37850,FY 2020 Expanding Capacity for Coronavirus Testing (ECT),5/5/2020,APPALACHIAN MOUNTAIN COMMUNITY HEALTH CENTERS,ASHEVILLE,NC,C4,"$46,107 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8E37850,FY 2020 Expanding Capacity for Coronavirus Testing (ECT),5/5/2020,APPALACHIAN MOUNTAIN COMMUNITY HEALTH CENTERS,ASHEVILLE,NC,C4,"$225,112 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8E38459,FY 2020 Expanding Capacity for Coronavirus Testing (ECT),5/5/2020,"WESTERN NC COMMUNITY HEALTH SERVICES, INC",ASHEVILLE,NC,C4,"$208,476 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8E38759,FY 2020 Expanding Capacity for Coronavirus Testing (ECT),5/5/2020,BAKERSVILLE COMMUNITY MEDICAL CLINIC,BAKERSVILLE,NC,C4,"$192,857 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8E38759,FY 2020 Expanding Capacity for Coronavirus Testing (ECT),5/5/2020,BAKERSVILLE COMMUNITY MEDICAL CLINIC,BAKERSVILLE,NC,C4,"$21,167 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8E38999,FY 2020 Expanding Capacity for Coronavirus Testing (ECT),5/5/2020,HIGH COUNTRY COMMUNITY HEALTH,BOONE,NC,C4,"$176,157 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8E38999,FY 2020 Expanding Capacity for Coronavirus Testing (ECT),5/5/2020,HIGH COUNTRY COMMUNITY HEALTH,BOONE,NC,C4,"$68,437 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8E38197,FY 2020 Expanding Capacity for Coronavirus Testing (ECT),5/5/2020,APPALACHIAN DISTRICT HEALTH DEPARTMENT,BOONE,NC,C4,"$167,569 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8E38202,FY 2020 Expanding Capacity for Coronavirus Testing (ECT),5/5/2020,"PIEDMONT HEALTH SERVICES, INC",CHAPEL HILL,NC,C4,"$812,387 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8E38202,FY 2020 Expanding Capacity for Coronavirus Testing (ECT),5/5/2020,"PIEDMONT HEALTH SERVICES, INC",CHAPEL HILL,NC,C4,"$22,457 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8E38379,FY 2020 Expanding Capacity for Coronavirus Testing (ECT),5/5/2020,"CHARLOTTE COMMUNITY HEALTH CLINIC, INC",CHARLOTTE,NC,C4,"$47,000 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8E38905,FY 2020 Expanding Capacity for Coronavirus Testing (ECT),5/5/2020,"C.W. Williams Community Health Center, Inc.",CHARLOTTE,NC,C4,"$287,854 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8E38379,FY 2020 Expanding Capacity for Coronavirus Testing (ECT),5/5/2020,"CHARLOTTE COMMUNITY HEALTH CLINIC, INC",CHARLOTTE,NC,C4,"$140,999 "
