Provider Name,City,State,Claims Paid By Treatment,Claims Paid By Testing
IOWA PHYSICIANS CLINIC,NORTH PALM BEACH,FL,$0 ,$49 
EASTSIDE HOSPITALIST I,OAKLAND PARK,FL,"$351,043 ",$0 
HOLY CROSS MEDICAL GRO,OAKLAND PARK,FL,"$1,210,659 ","$153,639 "
MEDIX URGENT CARE CENT,OAKLAND PARK,FL,$0 ,"$1,557 "
ANTENEH ADDISU,OCALA,FL,"$2,316 ",$0 
ANTENEH ADDISU,OCALA,FL,"$2,055 ",$0 
BETTER HEALTH AND REHA,OCALA,FL,"$1,206 ",$0 
EXPRESS CARE OF OCALA,OCALA,FL,$0 ,$367 
EXPRESS CARE OF OCALA,OCALA,FL,$440 ,$393 
FAMILY CARE SPECIALIST,OCALA,FL,$75 ,$83 
FLORIDA CLINICAL PRACT,OCALA,FL,$75 ,$0 
FLORIDA HOSPITAL MEDIC,OCALA,FL,$231 ,$0 
FLORIDA HOSPITAL OCALA,OCALA,FL,"$311,827 ","$205,320 "
FLORIDA HOSPITAL PHYSI,OCALA,FL,$74 ,$0 
FLORIDA HOSPITAL PHYSI,OCALA,FL,$0 ,$75 
HEART OF FLORIDA HEALT,OCALA,FL,"$1,205 ","$41,342 "
INFECTIOUS DISEASES AS,OCALA,FL,"$2,859 ",$0 
INPATIENT CARE SPECIAL,OCALA,FL,"$6,258 ",$189 
INTEGRATEDEM1 LLC,OCALA,FL,"$4,643 ","$42,722 "
INTEGRATEDEM1 LLC,OCALA,FL,$345 ,"$4,703 "
INTEGRATEDEM1 LLC,OCALA,FL,$0 ,$375 
INTEGRATEDEM1 LLC,OCALA,FL,$0 ,$825 
IPC OF FLORIDA,OCALA,FL,"$11,078 ",$0 
IPC OF FLORIDA,OCALA,FL,"$5,424 ",$0 
KIDS HEALTH ALLIANCE P,OCALA,FL,$212 ,"$4,331 "
LABS ASAP LLC,OCALA,FL,$100 ,"$28,700 "
LIFEFORCE HEALTHCARE L,OCALA,FL,$175 ,"$16,307 "
OCALA LUNG AND CRITICA,OCALA,FL,"$4,814 ",$0 
OCALA REGIONAL MEDICAL,OCALA,FL,"$13,329 ","$3,477 "
OCALA REGIONAL MEDICAL,OCALA,FL,"$513,021 ","$104,643 "
PREMIER MEDICAL ASSOCI,OCALA,FL,$175 ,"$1,830 "
PREMIER MEDICAL ASSOCI,OCALA,FL,$100 ,$122 
PREMIER PEDIATRICS LLC,OCALA,FL,$606 ,"$5,723 "
PROJECT HEALTH INC,OCALA,FL,$0 ,"$4,629 "
PROJECT HEALTH INC,OCALA,FL,$0 ,"$3,968 "
RADIOLOGY IMAGING ASSO,OCALA,FL,$704 ,"$1,158 "
SELECT LABORATORIES  M,OCALA,FL,"$1,300 ","$44,263 "
CENTRAL FLORIDA INPATI,OCOEE,FL,$351 ,"$10,042 "
HEALTH CENTRAL HOSPITA,OCOEE,FL,"$64,522 ","$24,148 "
NEPHROLOGY ASSOCIATES,OCOEE,FL,$148 ,$0 
ORLANDO HEALTH PHYSICI,OCOEE,FL,"$10,830 ",$0 
DOCTORS URGENT CARE,ODESSA,FL,"$1,951 ","$34,572 "
DOCTORS URGENT CARE,ODESSA,FL,"$1,366 ","$32,761 "
BIG WATER EMERGENCY PH,OKEECHOBEE,FL,"$1,682 ","$8,547 "
DIAGNOSTIC IMAGING SER,OKEECHOBEE,FL,$29 ,$0 
FLORIDA COMMUNITY HEAL,OKEECHOBEE,FL,"$1,101 ","$114,205 "
LAKE MACACO INPATIENT,OKEECHOBEE,FL,"$6,764 ",$0 
PALM BEACH GENERAL SUR,OKEECHOBEE,FL,$244 ,$0 
RAULERSON HOSPITAL,OKEECHOBEE,FL,"$250,088 ","$88,240 "
RAULERSON HOSPITAL,OKEECHOBEE,FL,"$137,950 ","$27,064 "
FLORIDA CLINICAL PRACT,OLD TOWN,FL,$109 ,$186 
FLORIDA HOSPITAL DELAN,ORANGE CITY,FL,$493 ,$0 
FLORIDA HOSPITAL FISH,ORANGE CITY,FL,"$44,328 ","$21,229 "
FLORIDA HOSPITAL FISH,ORANGE CITY,FL,"$29,167 ","$1,679 "
FLORIDA HOSPITAL HEALT,ORANGE CITY,FL,"$1,027 ",$0 
FLORIDA HOSPITAL MEDIC,ORANGE CITY,FL,$0 ,$75 
MIDLAND FLORIDA INFECT,ORANGE CITY,FL,"$6,261 ",$0 
PRIMARY CARE OF ORANGE,ORANGE CITY,FL,$90 ,"$1,268 "
GAINES MARTIN,ORANGE PARK,FL,"$1,803 ",$0 
IPC OF FLORIDA,ORANGE PARK,FL,"$3,439 ",$0 
IPC OF FLORIDA,ORANGE PARK,FL,"$8,550 ",$0 
MIHAELA IONESCU MD PA,ORANGE PARK,FL,"$3,971 ",$0 
ORANGE PARK MEDICAL CE,ORANGE PARK,FL,"$740,059 ","$172,482 "
PALMS MEDICAL GROUP,ORANGE PARK,FL,$0 ,$371 
PALMS MEDICAL GROUP,ORANGE PARK,FL,$748 ,"$2,007 "
PARAGON EMERGENCY SERV,ORANGE PARK,FL,$68 ,"$1,494 "
ST VINCENTS AMBULATORY,ORANGE PARK,FL,"$15,772 ",$75 
APPLIED INGENUITY DIAG,ORLANDO,FL,"$1,693 ","$173,317 "
CENTRAL FLORIDA INPATI,ORLANDO,FL,$373 ,"$15,651 "
CENTRAL FLORIDA INPATI,ORLANDO,FL,$0 ,"$1,829 "
CENTRAL FLORIDA INPATI,ORLANDO,FL,$256 ,"$3,060 "
CENTRAL FLORIDA PULMON,ORLANDO,FL,$976 ,$0 
CH AFFILIATES LLC,ORLANDO,FL,$0 ,"$14,474 "
DIABETES MANAGEMENT PA,ORLANDO,FL,"$1,328 ",$0 
DIVINE DIRECTION ONLIN,ORLANDO,FL,$10 ,$0 
EMERGENCY AND ACUTE CA,ORLANDO,FL,"$9,602 ",$0 
FLORIDA EMERGENCY PHYS,ORLANDO,FL,"$92,215 ","$641,689 "
FLORIDA HOSPITAL,ORLANDO,FL,"$299,139 ","$195,230 "
FLORIDA HOSPITAL,ORLANDO,FL,"$353,608 ","$314,089 "
FLORIDA HOSPITAL,ORLANDO,FL,"$35,178 ","$26,483 "
FLORIDA HOSPITAL,ORLANDO,FL,"$1,006,388 ","$1,693,481 "
FLORIDA HOSPITAL MEDIC,ORLANDO,FL,$513 ,$0 
FLORIDA HOSPITAL MEDIC,ORLANDO,FL,$0 ,$199 
FLORIDA HOSPITAL MEDIC,ORLANDO,FL,$452 ,$260 
FLORIDA HOSPITAL MEDIC,ORLANDO,FL,$0 ,$154 
FLORIDA HOSPITAL MEDIC,ORLANDO,FL,"$88,406 ",$215 
FLORIDA HOSPITAL MEDIC,ORLANDO,FL,"$6,958 ",$162 
FLORIDA HOSPITAL MEDIC,ORLANDO,FL,$108 ,$0 
FLORIDA HOSPITAL MEDIC,ORLANDO,FL,"$60,570 ",$0 
FLORIDA HOSPITAL MEDIC,ORLANDO,FL,$75 ,$0 
GENESIS REFERENCE LABO,ORLANDO,FL,"$11,125 ","$517,412 "
INPATIENT MEDICINE ASS,ORLANDO,FL,"$10,086 ",$0 
INSPIRE HEALTHCARE CEN,ORLANDO,FL,$226 ,"$5,556 "
NEPHROLOGY ASSOCIATES,ORLANDO,FL,"$6,187 ",$0 
NEPHROLOGY ASSOCIATES,ORLANDO,FL,"$4,683 ",$0 
NEPHROLOGY ASSOCIATES,ORLANDO,FL,"$1,193 ",$0 
ORLANDO HEALTH,ORLANDO,FL,"$555,218 ","$12,742 "
ORLANDO HEALTH,ORLANDO,FL,"$543,900 ","$7,052 "
ORLANDO HEALTH,ORLANDO,FL,"$347,993 ","$2,596 "
ORLANDO HEALTH,ORLANDO,FL,"$400,822 ","$28,071 "
ORLANDO HEALTH PHYSICI,ORLANDO,FL,"$55,180 ",$0 
ORLANDO HEALTH PHYSICI,ORLANDO,FL,"$111,146 ",$125 
ORLANDO HEALTH PHYSICI,ORLANDO,FL,"$17,741 ",$0 
RADIOLOGY ASSOCIATES O,ORLANDO,FL,"$8,956 ","$14,219 "
SAIED SHEMIRANEI MD,ORLANDO,FL,"$1,613 ","$8,748 "
UNIVERISTY OF CENTRAL,ORLANDO,FL,"$6,471 ",$0 
UNIVERISTY OF CENTRAL,ORLANDO,FL,"$2,141 ",$0 
UNIVERSITY MEDICAL SER,ORLANDO,FL,$336 ,$0 
ATHENS CLARKE EMERGENC,ORMOND BEACH,FL,$0 ,$548 
EMERGENCY MEDICAL ASSO,ORMOND BEACH,FL,"$1,645 ","$8,215 "
EMERGENCY MEDICINE PRO,ORMOND BEACH,FL,$182 ,"$1,870 "
FLORIDA HOSPITAL MEMOR,ORMOND BEACH,FL,$0 ,$831 
CARESPOT OF ORLANDO HS,OVIEDO,FL,"$17,990 ","$344,730 "
FLATWOODS IMPATIENT SE,OVIEDO,FL,"$6,749 ",$0 
FLORIDA HOSPITAL MEDIC,OVIEDO,FL,$0 ,$75 
JAX EMERGENCY PHYSICIA,OVIEDO,FL,"$2,541 ","$6,402 "
OVEIDO MEDICAL CENTER,OVIEDO,FL,"$67,049 ","$58,246 "
OVEIDO MEDICAL CENTER,OVIEDO,FL,"$53,112 ","$10,146 "
SOAR SPORT MEDICINE,OVIEDO,FL,$108 ,"$16,593 "
SOAR SPORT MEDICINE,OVIEDO,FL,$259 ,"$25,446 "
SANTA ROSA HMA PHYSICI,PACE,FL,$0 ,$134 
FLORIDA COMMUNITY HEAL,PAHOKEE,FL,$515 ,"$145,660 "
EXPRESS FAMILY CARE LL,PALATKA,FL,$75 ,$784 
HOSPITAL PHYSICIAN SER,PALATKA,FL,$890 ,$0 
MEDEX MEDICAL EXPRESS,PALATKA,FL,$0 ,$864 
MEDEX MEDICAL EXPRESS,PALATKA,FL,$23 ,"$5,918 "
PUTNAM COMMUNITY MEDIC,PALATKA,FL,"$255,211 ","$73,526 "
PUTNAM PULMONARY PRACT,PALATKA,FL,"$11,091 ",$0 
RURAL HEALTHCARE INC,PALATKA,FL,$0 ,"$3,668 "
RURAL HEALTHCARE INC,PALATKA,FL,$0 ,"$1,865 "
BREVARD HEALTH ALLIANC,PALM BAY,FL,$0 ,$302 
HEALTH FIRST MEDICAL G,PALM BAY,FL,"$10,265 ",$0 
HOLMES REGIONAL MEDICA,PALM BAY,FL,$610 ,"$18,958 "
ALEXANDER A MIRANDA MD,PALM BEACH GARDENS,FL,"$1,418 ",$0 
BEST HMS LLC,PALM BEACH GARDENS,FL,"$1,399 ",$0 
BEST HMS LLC,PALM BEACH GARDENS,FL,$743 ,$0 
FAMILY MEDICAL CARE OF,PALM BEACH GARDENS,FL,"$5,060 ",$0 
INSPIRED MEDICAL PA,PALM BEACH GARDENS,FL,"$5,512 ",$0 
INSPIRED MEDICAL PA,PALM BEACH GARDENS,FL,$514 ,"$3,461 "
JOSEPH A GIAIMO DO PA,PALM BEACH GARDENS,FL,"$1,751 ",$0 
JOSEPH A GIAIMO DO PA,PALM BEACH GARDENS,FL,"$8,471 ",$0 
PALM BEACH GARDENS MED,PALM BEACH GARDENS,FL,"$282,131 ","$72,204 "
SAMER JUNDI MD,PALM BEACH GARDENS,FL,$973 ,$0 
VANAJA SUREDDI,PALM BEACH GARDENS,FL,"$1,496 ",$0 
VANAJA SUREDDI,PALM BEACH GARDENS,FL,"$5,503 ",$0 
ACCESS 365 URGENT CARE,PALM CITY,FL,"$1,254 ","$51,543 "
BACK IN ACTION MEDICAL,PALM CITY,FL,$0 ,$276 
EMERGENCY MEDICINE PRO,PALM COAST,FL,"$5,386 ","$22,319 "
FLORIDA HOSPITAL HEALT,PALM COAST,FL,"$7,372 ",$0 
FLORIDA HOSPITAL MEMOR,PALM COAST,FL,"$58,629 ","$22,869 "
RURAL HEALTHCARE INC,PALM COAST,FL,$0 ,"$1,828 "
RURAL HEALTHCARE INC,PALM COAST,FL,$115 ,"$2,917 "
SOUND PHYSICIANS OF FL,PALM COAST,FL,"$9,753 ",$0 
COUNTRYSIDE REHAB AND,PALM HARBOR,FL,"$4,795 ",$0 
FLORIDA HOSPITAL PHYSI,PALM HARBOR,FL,$0 ,$108 
FOX CHASE EMERGENCY PH,PALM HARBOR,FL,$0 ,"$1,157 "
MORTON PLANT MEASE PRI,PALM HARBOR,FL,$183 ,$0 
TARPON SPRINGS HOSPITA,PALM HARBOR,FL,$45 ,$0 
TENET FLORIDA PHYSICIA,PALM SPRINGS,FL,$0 ,$134 
MANATEE COUNTY RURAL H,PALMETTO,FL,"$3,889 ","$38,404 "
JACKSON MEMORIAL HOSPI,PALMETTO BAY,FL,"$1,045,999 ","$130,231 "
PRAGER SPMON RULLAN EG,PALMETTO BAY,FL,"$3,314 ",$0 
PUBLIC HEALTH TRUST OF,PALMETTO BAY,FL,$527 ,$597 
PULMONARY PHYSICIANS O,PALMETTO BAY,FL,"$9,238 ",$0 
URGENT CARE PHYSICIANS,PALMETTO BAY,FL,"$2,362 ","$67,748 "
NORTH FLORIDA MEDICAL,PANACEA,FL,$0 ,"$1,276 "
NORTH FLORIDA MEDICAL,PANACEA,FL,$75 ,"$1,246 "
BAY COUNTY BOARD OF CO,PANAMA CITY,FL,"$1,420 ",$0 
BAY MEDICAL CENTER SAC,PANAMA CITY,FL,"$150,934 ","$44,334 "
CATHEDRAL PEAK EMERGEN,PANAMA CITY,FL,"$8,063 ","$7,476 "
CIRQUE OF TOWERS INPAT,PANAMA CITY,FL,"$3,577 ",$0 
FL I MEDICAL SERVICES,PANAMA CITY,FL,$0 ,$182 
GULF COAST MEDICAL CEN,PANAMA CITY,FL,"$364,146 ","$105,503 "
JUNCO EMERGENCY PHYSIC,PANAMA CITY,FL,"$9,390 ","$20,795 "
PANAMA CITY INPATIENT,PANAMA CITY,FL,$687 ,$0 
PANCARE OF FLORIDA INC,PANAMA CITY,FL,$0 ,"$41,885 "
GULF COAST MEDICAL CEN,PANAMA CITY BEACH,FL,$75 ,$0 
CLEVELAND CLINIC FLORI,PARKLAND,FL,$70 ,"$1,337 "
MANATEE COUNTY RURAL H,PARRISH,FL,"$5,824 ","$2,006 "
ASSOCIATES IN FAMILY P,PEMBROKE PINES,FL,$0 ,$24 
GARCIA INFECTIOUS DISE,PEMBROKE PINES,FL,"$12,816 ",$0 
INPHYNET SOUTH BROWARD,PEMBROKE PINES,FL,"$209,130 ","$641,851 "
MEMORIAL HEALTHCARE SY,PEMBROKE PINES,FL,"$52,622 ","$10,435 "
MEMORIAL HEALTHCARE SY,PEMBROKE PINES,FL,"$59,552 ","$13,539 "
PATHOLOGY CONSULTANTS,PEMBROKE PINES,FL,$740 ,$650 
PATHOLOGY CONSULTANTS,PEMBROKE PINES,FL,"$4,090 ","$1,160 "
PULMONARY PHYSICIANS O,PEMBROKE PINES,FL,"$2,081 ",$0 
SOLANTIC OF SOUTH FLOR,PEMBROKE PINES,FL,"$7,638 ","$192,612 "
SOUTH FLORIDA DOCTOR S,PEMBROKE PINES,FL,$0 ,$9 
SUNRISE MEDICAL GROUP,PEMBROKE PINES,FL,"$1,433 ",$0 
AUGUSTINE EMERGENCY PH,PENSACOLA,FL,"$7,098 ","$8,468 "
BAPTIST MEDICAL GROUP,PENSACOLA,FL,$0 ,$23 
BAPTIST MEDICAL GROUP,PENSACOLA,FL,$0 ,$567 
BAPTIST MEDICAL GROUP,PENSACOLA,FL,$0 ,"$2,261 "
BAPTIST MEDICAL GROUP,PENSACOLA,FL,$0 ,$108 
BAPTIST MEDICAL GROUP,PENSACOLA,FL,$0 ,$298 
BAPTIST URGENT CARE LL,PENSACOLA,FL,"$1,755 ","$44,359 "
CENTER FOR PREVENTION,PENSACOLA,FL,$780 ,$0 
ESCAMBIA COMMUNITY CLI,PENSACOLA,FL,$97 ,"$27,282 "
GULF BREEZE HOSPITAL,PENSACOLA,FL,"$11,330 ","$9,435 "
GULF BREEZE HOSPITAL,PENSACOLA,FL,"$23,317 ","$3,635 "
HOSPITAL PHYSICIAN SER,PENSACOLA,FL,$74 ,$0 
MANATEE COUNTY RURAL H,PENSACOLA,FL,$0 ,"$1,733 "
MAYO CLINIC HEALTH SYS,PENSACOLA,FL,$368 ,$0 
PENSACOLA EMERGENCY PH,PENSACOLA,FL,"$3,963 ","$51,234 "
PENSACOLA NEPHROLOGY P,PENSACOLA,FL,$922 ,$0 
PULSE MEDICAL GROUP IN,PENSACOLA,FL,$0 ,"$23,201 "
SACRED HEART HEALTH SY,PENSACOLA,FL,"$115,084 ","$80,951 "
SACRED HEART HEALTH SY,PENSACOLA,FL,$213 ,$0 
SACRED HEART HEALTH SY,PENSACOLA,FL,$75 ,$0 
SACRED HEART MEDICAL G,PENSACOLA,FL,"$6,412 ",$0 
SACRED HEART MEDICAL G,PENSACOLA,FL,$543 ,$0 
SACRED HEART MEDICAL G,PENSACOLA,FL,$604 ,$0 
SACRED HEART MEDICAL G,PENSACOLA,FL,"$5,366 ",$932 
WEST FLORIDA CARDIOLOG,PENSACOLA,FL,$9 ,$0 
WEST FLORIDA REGIONAL,PENSACOLA,FL,"$338,502 ","$184,316 "
WEST FLORIDA REGIONAL,PENSACOLA,FL,"$57,242 ","$38,955 "
DMH EMERGENCY PHYSICIA,PERRY,FL,$987 ,"$1,551 "
NORTHEAST FLORIDA HEAL,PIERSON,FL,$0 ,"$8,354 "
COMMUNITY HEALTH CENTE,PINELLAS PARK,FL,$908 ,"$19,214 "
SANDBAY FAMILY PRACTIC,PINELLAS PARK,FL,$0 ,$793 
UNIQUE HEALTHCARE SYST,PINELLAS PARK,FL,"$8,900 ","$655,415 "
ADVANCED CARE HOSPITAL,PLANT CITY,FL,"$13,838 ",$0 
MORTON PLANT MEASE PRI,PLANT CITY,FL,"$7,342 ",$0 
RAINIER EMERGENCY PHYS,PLANT CITY,FL,"$2,360 ","$19,220 "
SOUTH FL BAPTIST HOSP,PLANT CITY,FL,"$110,522 ","$32,967 "
SOUTH FL BAPTIST HOSP,PLANT CITY,FL,"$565,415 ","$156,258 "
ADULT AND GERIATRIC OF,PLANTATION,FL,$0 ,$139 
COLUMBIA PRIMARY CARE,PLANTATION,FL,$24 ,$0 
HOFFMAN PARK EMERGENCY,PLANTATION,FL,"$3,079 ","$10,862 "
MARSHLAND EMERGENCY PH,PLANTATION,FL,"$5,594 ","$22,271 "
MCCI OF TEXAS HOSPITAL,PLANTATION,FL,"$1,894 ",$0 
MERCY HOSPTIAL MEDICAL,PLANTATION,FL,$944 ,$0 
NAVARRO EMERGENCY PHYS,PLANTATION,FL,"$5,047 ",$553 
PLANTATION GENERAL HOS,PLANTATION,FL,"$1,899,562 ","$120,908 "
PRIMARY CARE PROVIDERS,PLANTATION,FL,"$1,348 ",$0 
RADIOLOGY PHYSICIAN SO,PLANTATION,FL,$41 ,$0 
SABA ALAQILI DO PLLC,PLANTATION,FL,"$9,669 ",$0 
SABA ALAQILI DO PLLC,PLANTATION,FL,"$12,660 ",$0 
SOUTH CENTRAL EMERGENC,PLANTATION,FL,$172 ,"$5,288 "
TENET FLORIDA PHYSICIA,PLANTATION,FL,$215 ,$0 
URGENT MED INC,PLANTATION,FL,"$3,156 ","$13,828 "
URGENT MED INC,PLANTATION,FL,"$2,802 ","$30,894 "
WESTSIDE REGIONAL MEDI,PLANTATION,FL,"$558,621 ","$70,561 "
HOLY CROSS MEDICAL GRO,POMPANO BEACH,FL,$81 ,$0 
NORTH BROWARD HOSPITAL,POMPANO BEACH,FL,$15 ,$0 
FAWCETT MEDICAL IMAGIN,PORT CHARLOTTE,FL,$687 ,$215 
FAWCETT MEMORIAL HOSPI,PORT CHARLOTTE,FL,"$107,159 ","$50,826 "
FLORIDA REGIONAL EMERG,PORT CHARLOTTE,FL,$556 ,"$4,997 "
INFECTIOUS DISEASES CO,PORT CHARLOTTE,FL,"$2,752 ",$0 
PORT CHARLOTTE HMA LLC,PORT CHARLOTTE,FL,"$105,355 ","$12,577 "
PORT CHARLOTTE HMA PHY,PORT CHARLOTTE,FL,$182 ,$0 
PULMONARY SLEEP AND CR,PORT CHARLOTTE,FL,"$15,516 ",$0 
SPLIT MOUNTAIN EMERGEN,PORT CHARLOTTE,FL,"$1,328 ","$1,824 "
SUNAPEE INPATIENT SERV,PORT CHARLOTTE,FL,$148 ,$0 
WEST FL PHYSICIANS NET,PORT CHARLOTTE,FL,$81 ,$0 
FLORIDA CLINICAL PRACT,PORT ORANGE,FL,$0 ,$182 
HALIFAX HEALTH CARE SY,PORT ORANGE,FL,$182 ,"$2,172 "
URGENT CARE CENTER OF,PORT ORANGE,FL,$0 ,$60 
PANCARE OF FLORIDA INC,PORT SAINT JOE,FL,$0 ,"$27,289 "
SACRED HEART HOSPITAL,PORT SAINT JOE,FL,$0 ,"$11,613 "
DOCKYARD EMERGENCY PHY,PORT SAINT LUCIE,FL,"$2,546 ","$13,441 "
FLORIDA COMMUNITY HEAL,PORT SAINT LUCIE,FL,$48 ,"$2,887 "
FLORIDA COMMUNITY HEAL,PORT SAINT LUCIE,FL,$0 ,"$5,313 "
IMRAN MALIK MD LLC,PORT SAINT LUCIE,FL,"$1,851 ",$0 
IMRAN MALIK MD LLC,PORT SAINT LUCIE,FL,"$5,545 ",$0 
MARTIN MEMORIAL MEDICA,PORT SAINT LUCIE,FL,$122 ,$122 
MARTIN MEMORIAL PHYSIC,PORT SAINT LUCIE,FL,$187 ,$288 
PALM BEACH GENERAL SUR,PORT SAINT LUCIE,FL,$306 ,$0 
ST LUCIE MEDICAL CENTE,PORT SAINT LUCIE,FL,"$438,260 ","$103,613 "
ST LUCIE MEDICAL SPECI,PORT SAINT LUCIE,FL,"$3,254 ",$0 
BOARD OF COUNTY COMMIS,PUNTA GORDA,FL,"$11,328 ",$0 
FAMILY HEALTH CENTERS,PUNTA GORDA,FL,$0 ,$75 
FAMILY HEALTH CENTERS,PUNTA GORDA,FL,$0 ,$109 
OCEANWIND ER SVCS PART,PUNTA GORDA,FL,$230 ,"$2,192 "
PULMONARY SLEEP AND CR,PUNTA GORDA,FL,"$30,329 ",$0 
PUNTA GORDA HMA LLC DB,PUNTA GORDA,FL,"$49,814 ","$6,268 "
CAPITAL REGIONAL CARDI,QUINCY,FL,$17 ,$9 
NORTH FLORIDA MEDICAL,QUINCY,FL,$248 ,$868 
NORTH FLORIDA MEDICAL,QUINCY,FL,$339 ,$926 
FLORIDA HOSPITAL PHYSI,RIVERVIEW,FL,$0 ,$184 
FLORIDA MEDICAL CLINIC,RIVERVIEW,FL,$0 ,$64 
MORTON PLANT MEASE PRI,RIVERVIEW,FL,"$42,933 ",$53 
ST JOSEPHS HOSP INC,RIVERVIEW,FL,"$314,467 ","$74,278 "
ST JOSEPHS HOSP INC,RIVERVIEW,FL,"$434,878 ","$302,745 "
ALPHA OMEGA ALLIANCE I,RIVIERA BEACH,FL,"$6,017 ","$3,714 "
HEALTH FIRST MEDICAL G,ROCKLEDGE,FL,$274 ,$44 
ROCKLEDGE EMERGENCY GR,ROCKLEDGE,FL,"$2,562 ",$452 
ROCKLEDGE PHYSICIAN SE,ROCKLEDGE,FL,"$17,370 ",$0 
SAIMA ABBAS,ROCKLEDGE,FL,"$2,365 ",$0 
SAIMA ABBAS,ROCKLEDGE,FL,"$9,772 ",$0 
STEWARD MEDICAL GROUP,ROCKLEDGE,FL,$319 ,$0 
STEWARD MEDICAL GROUP,ROCKLEDGE,FL,"$5,760 ",$0 
STEWARD ROCKLEDGE REGI,ROCKLEDGE,FL,"$245,817 ","$4,700 "
KIDNEY SPECIALISTS OF,ROYAL PALM BEACH,FL,"$1,545 ",$0 
PULMONARY ASSOCIATES O,RUSKIN,FL,"$3,840 ",$0 
BAYCARE HEALTH SYSTEM,SAFETY HARBOR,FL,"$15,304 ","$36,511 "
BAYCARE HEALTH SYSTEM,SAFETY HARBOR,FL,"$194,729 ","$111,218 "
COASTLINE EMERGENCY PH,SAFETY HARBOR,FL,"$10,882 ","$12,935 "
MORTON PLANT MEASE PRI,SAFETY HARBOR,FL,"$25,781 ",$0 
WEST COAST INFECTIOUS,SAFETY HARBOR,FL,"$1,865 ",$0 
WEST COAST INFECTIOUS,SAFETY HARBOR,FL,"$11,683 ",$0 
FIRST CITY HOSPITALIST,SAINT AUGUSTINE,FL,"$7,818 ",$0 
FLAGLER HOSPITAL,SAINT AUGUSTINE,FL,"$72,515 ","$4,004 "
FLAGLER HOSPITAL,SAINT AUGUSTINE,FL,$0 ,$51 
FLORIDA LABORATORY ANA,SAINT AUGUSTINE,FL,$0 ,"$22,868 "
PULMONARY ASSOCIATES O,SAINT AUGUSTINE,FL,"$8,776 ",$0 
RURAL HEALTHCARE INC,SAINT AUGUSTINE,FL,$651 ,"$4,491 "
RURAL HEALTHCARE INC,SAINT AUGUSTINE,FL,$0 ,"$2,676 "
HCTB INC,SAINT CLOUD,FL,$0 ,"$1,711 "
HCTB INC,SAINT CLOUD,FL,$0 ,$951 
ST CLOUD HMA PHYSICIAN,SAINT CLOUD,FL,$77 ,$0 
ST CLOUD REGIONAL MEDI,SAINT CLOUD,FL,"$43,066 ","$110,508 "
ASHOK TYAGI DO PA AS S,SAINT PETERSBURG,FL,"$4,082 ",$0 
AYERS ROCK INPATIENT S,SAINT PETERSBURG,FL,"$1,567 ",$0 
BAYCARE BEHAVIORAL HEA,SAINT PETERSBURG,FL,$263 ,$128 
BAYCARE HEALTH SYSTEM,SAINT PETERSBURG,FL,"$574,730 ","$324,073 "
BAYCARE HEALTH SYSTEM,SAINT PETERSBURG,FL,"$228,567 ","$93,635 "
BAYFRONT HEALTH ST PET,SAINT PETERSBURG,FL,"$149,306 ","$406,795 "
BAYFRONT HMA PHYSICIAN,SAINT PETERSBURG,FL,$319 ,$105 
BAYFRONT HMA PHYSICIAN,SAINT PETERSBURG,FL,$0 ,$153 
BAYSIDE EMERGENCY PHYS,SAINT PETERSBURG,FL,"$21,678 ","$205,315 "
BLUFF KNOLL EMERGENCY,SAINT PETERSBURG,FL,"$4,490 ","$11,864 "
BLUFF KNOLL EMERGENCY,SAINT PETERSBURG,FL,$726 ,"$2,247 "
COMMUNITY HEALTH CENTE,SAINT PETERSBURG,FL,$913 ,"$22,623 "
COMMUNITY HEALTH CENTE,SAINT PETERSBURG,FL,"$3,125 ","$46,047 "
COMMUNITY HEALTH CENTE,SAINT PETERSBURG,FL,$989 ,"$15,090 "
EMERGENCY PHYSICIANS O,SAINT PETERSBURG,FL,"$18,621 ","$163,908 "
EMERGENCY PHYSICIANS O,SAINT PETERSBURG,FL,"$3,840 ","$30,724 "
EVENING PEDIATRICS,SAINT PETERSBURG,FL,$0 ,"$14,967 "
EVENING PEDIATRICS,SAINT PETERSBURG,FL,$0 ,"$98,463 "
FLORIDA HOSPITAL PHYSI,SAINT PETERSBURG,FL,$65 ,$39 
FLORIDA HOSPITAL PHYSI,SAINT PETERSBURG,FL,$0 ,$104 
INTERCOASTAL URGENT CA,SAINT PETERSBURG,FL,"$2,265 ","$41,521 "
LARGO PHYSICIAN GROUP,SAINT PETERSBURG,FL,$0 ,$92 
MORTON PLANT MEASE PRI,SAINT PETERSBURG,FL,"$6,805 ",$89 
MORTON PLANT MEASE PRI,SAINT PETERSBURG,FL,$0 ,$113 
MORTON PLANT MEASE PRI,SAINT PETERSBURG,FL,$53 ,$0 
MORTON PLANT MEASE PRI,SAINT PETERSBURG,FL,$53 ,$0 
NORTHSIDE HOSPITAL,SAINT PETERSBURG,FL,"$104,070 ","$35,265 "
NORTHSIDE HOSPITAL,SAINT PETERSBURG,FL,"$150,788 ","$118,626 "
PROFESSIONAL URGENT CA,SAINT PETERSBURG,FL,$0 ,"$10,106 "
RADIOLOGY ASSOCIATES O,SAINT PETERSBURG,FL,$108 ,$0 
RADIOLOGY PHYSICIAN SO,SAINT PETERSBURG,FL,"$1,419 ",$180 
